Name,WD17NM_x,HPrice,medIncome,Tquantity,CrimRate,FareZone,Perof65years,drivingTime,PTransportTime,TPopulation,AreaKm2,PeoplePerkm2,Av GCSE 2013,GrnSpacem2T,Cemissions,TTprimaryS,TTsecodS,TTGP,TTHosp,TTfoodSt,pcds
Barnet 022C,Coppetts,320000,32880,21,72,4,8.7,52,52,1689,0.19,8824,504,78.9,106,6,14,11,25,9,N10 2HR
Barnet 022D,Coppetts,312750,34470,16,204,4,10.8,50,48,1795,0.55,3282,429,307.2,104,6,10,7,15,5,N10 1AP
Barnet 022E,Coppetts,484000,38420,15,30,4,12.1,53,54,1882,0.19,10162,485,18.9,99,10,13,11,20,10,N11 3NJ
Barnet 003A,East Barnet,470000,40100,15,40,5,19.6,69,60,1638,0.37,4431,395,133.1,81,6,7,14,26,12,EN4 9DL
Barnet 002A,East Barnet,425000,35430,12,54,5,11.6,70,69,1338,0.6,2223,331,367.6,81,6,7,13,33,10,EN4 9GE
Barnet 003B,East Barnet,699000,43990,13,37,5,21.5,66,56,1623,0.31,5170,453,40.1,83,6,10,17,20,11,EN4 9EJ
Barnet 003C,East Barnet,505725,40360,16,48,5,15.5,67,64,1608,0.24,6742,442,17.4,82,9,9,10,23,9,EN4 9PE
Barnet 006A,East Barnet,475000,37590,23,62,5,16.6,65,62,1704,0.3,5747,424,44.4,87,6,11,5,22,5,EN4 9NY
Barnet 006B,East Barnet,342500,36690,18,106,5,10.3,68,64,2006,0.33,6024,455,65.6,87,9,11,5,19,5,EN4 9PH
Barnet 003D,East Barnet,673000,41470,11,29,5,18,60,60,1717,0.54,3157,513,283,85,10,7,10,18,7,EN4 8QG
Barnet 006C,East Barnet,571500,41050,14,48,4,15.6,62,63,1755,0.37,4799,465,170.3,85,5,12,10,23,6,EN4 8HN
Barnet 006D,East Barnet,435000,36740,17,69,4,15.3,64,61,1783,0.19,9459,357,22.5,90,6,12,10,24,5,EN4 8RU
Barnet 006E,East Barnet,630000,41690,19,39,4,17,63,61,1660,0.5,3315,462,212.4,87,5,12,10,25,7,EN4 8JF
Barnet 027A,East Finchley,480000,34800,9,46,3,19.4,45,45,1667,0.22,7588,433,77.4,116,9,18,10,22,8,N2 0SG
Barnet 029A,East Finchley,587500,43380,20,73,3,13.7,42,40,1731,0.17,10261,441,24.1,94,7,8,5,16,9,N2 8DJ
Barnet 027B,East Finchley,610000,42070,9,47,3,18.9,42,42,1846,0.42,4422,484,235.2,93,7,16,7,16,7,N2 9DR
Barnet 029B,East Finchley,618750,42940,18,39,3,10,44,45,1723,0.14,11982,578,19.6,94,7,6,7,16,7,N2 0SX
Barnet 029C,East Finchley,537500,39530,11,40,3,17.3,42,40,1684,0.17,9865,396,14.8,97,6,10,8,15,8,N2 0LL
Barnet 029D,East Finchley,1135000,47020,9,70,3,13.2,42,38,1773,0.14,12390,481,3.3,101,7,11,5,12,5,N2 9DB
Barnet 029E,East Finchley,880000,44160,12,58,3,17.6,40,39,1869,0.22,8523,580,56.2,100,9,11,5,12,5,N2 9JJ
Barnet 033A,East Finchley,670000,46900,17,37,3,18,43,45,1464,0.23,6332,561,31.6,96,11,8,10,23,9,N2 0RX
Barnet 027C,East Finchley,345000,33740,11,69,3,12,47,48,1617,0.69,2357,441,492.1,103,9,15,10,16,7,N2 9FF
Barnet 029F,East Finchley,360000,32890,7,63,3,9.6,45,42,1505,0.12,12176,448,40.7,97,7,10,6,12,6,N2 8NE
Barnet 014A,Edgware,738750,43950,10,30,5,18.5,66,58,1676,0.25,6575,508,8,92,8,11,6,27,8,HA8 8NL
Barnet 014B,Edgware,637000,39320,9,27,5,19.6,65,57,1712,0.22,7937,445,18.5,85,6,10,11,31,10,HA8 8TX
